,id,belongs_to_collection_True,budget,language_enc,popularity,year,month,count_genre,count_country,count_company,count_splang,count_cast,count_crew,count_staff,count_keyword,castWt,prodcoWt,keywordWt,crewWt,teamWt,inEnglish
1801,1802,0,3500000,0,0.556435,1998,11,1,1,1,1,11,2,13,2,269,9,27,35,313,1
1190,1191,0,0,0,2.087446,1985,1,2,1,2,3,7,13,20,7,163,22,126,316,501,1
1817,1818,0,2000000,5,1.188935,2003,5,3,1,1,1,3,1,4,1,59,2,9,13,74,1
251,252,0,98000000,0,7.284477000000001,1995,12,2,4,4,2,31,16,47,6,693,49,105,304,1046,1
2505,2506,1,0,0,1.218959,2010,2,4,1,1,1,7,2,9,0,129,5,0,25,159,0
1117,1118,0,40000000,0,12.520688,2001,11,2,1,1,1,19,14,33,13,412,0,274,284,696,1
1411,1412,0,13000000,0,8.611077,2013,3,2,1,6,1,11,15,26,12,253,103,205,304,660,1
2113,2114,0,9000000,0,6.842274000000001,1976,6,4,1,1,1,19,26,45,15,423,5,300,580,1008,1
408,409,1,10000000,0,15.109260999999998,1989,2,3,1,1,4,22,12,34,16,430,0,295,245,675,1
2579,2580,1,20000000,0,9.704289,2005,2,4,1,4,3,17,47,64,6,414,69,103,1086,1569,1
2254,2255,0,11000000,4,7.250134,2008,1,1,1,9,1,15,21,36,15,281,120,256,435,836,0
52,53,0,0,0,1.012665,1980,6,2,1,1,1,13,7,20,5,222,7,78,150,379,1
644,645,0,0,14,7.8435619999999995,1952,10,1,1,1,1,39,7,46,13,794,8,223,108,910,0
1763,1764,0,250000,0,8.168455999999999,1921,1,2,1,2,1,35,12,47,14,821,18,282,277,1116,0
2776,2777,0,20000000,0,14.810519000000001,1995,9,4,1,2,4,25,29,54,15,523,27,251,630,1180,1
900,901,0,20000000,0,11.112153,2012,4,2,1,6,2,22,20,42,3,480,92,44,476,1048,1
1073,1074,0,4500000,0,8.786269,2010,9,3,1,3,2,9,3,12,4,170,60,70,58,288,1
472,473,0,19000000,0,8.560694,1991,2,3,1,1,2,15,54,69,3,308,0,56,1318,1626,1
2738,2739,1,120000000,0,10.901602,2001,6,4,1,2,3,15,68,83,5,299,4,95,1764,2067,1
2546,2547,1,18000000,0,6.197298,1984,5,4,1,1,2,18,12,30,0,291,0,0,189,480,1
44,45,0,15000000,0,5.615303,2005,2,2,1,3,1,10,12,22,6,184,36,116,196,416,1
289,290,0,28000000,0,13.856198999999998,1994,3,4,2,2,1,16,14,30,1,342,29,21,295,666,1
912,913,0,25000000,0,11.829231,2013,7,2,3,5,3,13,2,15,5,272,66,85,35,373,1
2083,2084,0,0,2,1.95315,2008,1,2,1,1,1,9,2,11,0,237,3,0,42,282,0
1360,1361,0,0,0,3.985291,2012,5,3,1,1,1,7,2,9,1,118,4,20,36,158,1
2895,2896,0,68000000,0,14.741992000000002,2001,7,3,2,3,2,24,13,37,11,563,31,250,252,846,1
2603,2604,1,70000000,0,15.57784,1997,11,3,1,2,1,25,91,116,21,512,27,450,2407,2946,1
1226,1227,0,28000000,0,6.062425,2011,9,2,1,1,2,12,5,17,5,260,3,101,106,369,1
296,297,0,60000000,0,4.924078,2002,2,1,2,6,2,23,67,90,9,470,78,151,1430,1978,1
1241,1242,1,13800000,0,11.613655,1986,10,1,1,2,2,49,7,56,5,1135,24,63,135,1294,1
1005,1006,0,73000000,0,8.884406,1999,11,4,1,2,1,21,120,141,3,445,11,36,2789,3245,1
1665,1666,0,16400000,0,19.905716,1989,6,1,1,2,1,15,11,26,8,276,26,109,156,458,1
746,747,0,50000,0,11.329733000000001,2007,2,4,1,0,1,10,3,13,1,203,0,2,67,270,1
2851,2852,0,40000000,0,9.802889,1985,12,2,1,4,1,15,49,64,18,308,47,335,949,1304,1
291,292,0,16000000,0,12.153493,2007,3,3,1,2,1,36,15,51,7,683,10,134,260,953,1
781,782,0,13000000,0,4.654312,2016,2,2,1,2,1,40,57,97,4,989,29,69,1367,2385,1
2144,2145,0,0,0,1.797462,1996,3,3,1,2,1,35,75,110,24,707,40,445,1687,2434,1
322,323,0,135000000,0,23.501228,2015,12,4,4,9,2,19,124,143,20,449,156,391,3193,3798,1
298,299,0,3000000,0,1.739182,1991,2,1,1,2,2,7,15,22,0,167,26,0,356,549,1
1298,1299,0,0,0,10.754614,1998,1,3,1,2,1,25,8,33,8,500,15,131,179,694,1
194,195,0,4500000,0,3.3113919999999997,2009,10,2,1,1,1,12,5,17,2,238,6,16,92,336,1
63,64,1,5000000,0,7.743144,1989,7,2,1,3,1,16,7,23,10,335,37,151,142,514,1
393,394,1,60000000,0,7.898202,1996,11,2,1,2,1,20,12,32,8,388,13,105,225,626,1
727,728,0,30000000,0,9.058516000000001,2007,6,3,1,2,1,37,17,54,10,782,5,190,311,1098,1
1583,1584,0,9000000,0,6.484495,1986,11,2,1,2,1,16,31,47,6,323,16,103,749,1088,1
1547,1548,0,90000000,0,11.605735000000001,2003,11,5,1,3,1,25,12,37,7,580,33,127,272,885,1
2425,2426,1,0,0,5.952392,1987,4,2,1,1,1,23,6,29,5,493,10,98,149,652,1
14,15,0,102000000,0,20.666063,2002,6,4,1,7,2,23,156,179,9,378,94,160,3620,4092,1
2567,2568,0,11000000,1,1.812728,2015,5,2,1,1,1,10,6,16,0,237,17,0,121,375,0
1600,1601,0,50000000,0,6.496271,2004,1,2,1,3,1,15,12,27,20,257,74,356,251,582,1
1090,1091,0,15000000,0,14.14078,2015,1,2,1,4,1,11,60,71,19,273,69,346,1281,1623,1
2111,2112,1,135000000,0,12.130127,1999,11,3,2,2,2,20,29,49,6,385,31,102,664,1080,1
203,204,0,75000000,0,14.302910999999998,2007,7,3,1,2,1,21,66,87,20,388,11,351,1716,2115,1
2418,2419,1,35000000,0,13.492845,1995,7,3,1,1,1,53,43,96,15,1188,5,250,1066,2259,1
152,153,0,0,0,3.520171,1988,1,3,1,0,1,5,8,13,2,67,0,18,118,185,1
2901,2902,0,75000000,0,9.883727,1991,5,5,1,3,1,18,93,111,13,353,21,190,2275,2649,1
1359,1360,0,11000000,0,9.003792,2013,9,2,1,9,1,19,50,69,2,428,150,33,1249,1827,1
772,773,0,0,0,5.063701,1997,4,2,1,1,1,17,26,43,5,340,1,67,514,855,1
2678,2679,0,0,0,2.7832049999999997,1998,3,2,2,1,2,5,2,7,1,97,0,9,33,130,1
1001,1002,0,10500000,21,8.253705,2014,5,2,5,3,2,47,16,63,7,1320,57,109,329,1706,1
718,719,1,0,0,7.477944,1992,4,4,2,4,1,20,22,42,0,383,61,0,555,999,1
612,613,0,5000000,0,10.737565,2004,2,2,2,5,1,13,10,23,14,294,89,405,253,636,1
842,843,0,0,0,0.727837,2000,4,2,1,3,2,10,2,12,0,210,38,0,31,279,1
266,267,0,15000000,0,15.423538,2007,9,2,1,4,2,25,50,75,11,547,64,221,1149,1760,1
51,52,0,12000000,0,4.473326999999999,1965,7,2,1,1,2,17,6,23,5,340,10,113,109,459,1
1195,1196,0,100000000,0,11.174041,2010,3,5,4,5,2,88,81,169,3,1478,70,50,1747,3295,1
1270,1271,0,260000000,0,14.670353,2012,3,3,1,1,1,28,132,160,16,628,0,298,3442,4070,1
1491,1492,0,5500000,1,2.942711,2015,5,2,1,3,1,4,7,11,0,100,59,0,196,355,0
1582,1583,0,25000000,0,1.466461,1999,3,3,1,5,1,9,13,22,4,165,65,69,274,504,1
521,522,0,0,0,1.380258,2014,4,2,1,1,1,15,12,27,11,326,18,187,240,584,1
1694,1695,0,521873,1,1.6687939999999999,2016,6,2,1,1,1,13,23,36,4,420,7,58,547,974,0
2663,2664,1,38000000,0,17.02038,2015,4,3,1,6,1,51,25,76,3,1311,71,44,558,1940,1
2748,2749,1,63000000,0,11.624866,1988,5,4,1,2,2,16,25,41,16,300,28,249,525,853,1
1921,1922,1,5000000,0,8.898522999999999,2014,1,2,1,3,1,10,9,19,3,214,28,30,236,478,1
102,103,0,0,2,1.066558,2007,8,4,1,3,1,7,5,12,0,165,58,0,91,314,0
695,696,0,1,1,1.280455,2003,8,2,1,1,1,6,2,8,0,126,17,0,34,177,0
2332,2333,0,0,0,7.032964,2014,10,1,2,1,1,29,12,41,8,651,13,155,275,939,1
2724,2725,0,15000000,0,13.634766,2009,3,4,1,3,1,11,51,62,7,196,39,118,1285,1520,1
2272,2273,0,1700000,0,6.115298999999999,2009,1,2,1,3,2,10,11,21,8,218,35,123,213,466,1
2482,2483,0,43000000,0,13.802674,2005,1,2,2,8,2,20,111,131,4,392,121,75,2549,3062,1
1842,1843,0,0,0,9.987072,1983,12,4,1,1,1,21,17,38,6,350,0,109,291,641,1
1830,1831,0,70000000,0,8.919469,1999,7,2,1,4,1,18,32,50,6,297,36,93,728,1061,1
794,795,0,25000000,0,14.141836999999999,2010,12,1,1,1,1,72,61,133,11,1995,0,228,1408,3403,1
1820,1821,0,500000,0,2.317528,2007,1,2,1,2,1,10,4,14,1,274,14,9,88,376,1
2001,2002,1,0,0,8.500628,1991,1,2,1,1,2,8,2,10,0,148,7,0,41,196,1
144,145,0,4000000,0,6.216637,1967,10,3,1,1,1,13,22,35,10,294,10,152,489,793,1
2525,2526,0,47000000,0,10.642824000000001,2002,11,4,1,2,1,13,55,68,12,279,18,207,1382,1679,1
1330,1331,0,0,0,1.194891,1982,1,2,1,2,1,9,2,11,3,171,28,39,26,225,1
2477,2478,0,0,0,3.4442660000000003,1989,12,2,1,1,1,9,19,28,3,186,10,57,380,576,1
2881,2882,0,40000000,0,13.707888,2015,10,2,3,8,3,66,92,158,7,1575,105,77,2420,4100,1
321,322,0,85000000,0,14.170182999999998,2012,3,6,1,6,1,33,33,66,20,764,62,451,791,1617,1
1261,1262,0,0,4,9.617662,2012,9,4,1,4,1,16,19,35,10,293,54,165,563,910,0
2414,2415,0,0,0,5.916187,1979,12,4,1,3,1,17,6,23,6,370,10,108,98,478,1
1269,1270,0,802000,0,6.165341000000001,1942,10,3,1,1,2,6,6,12,2,100,5,20,118,223,1
1760,1761,0,290000,0,0.140491,1928,4,2,1,1,0,10,9,19,14,176,5,288,190,371,0
416,417,0,0,14,8.175019,2008,9,1,1,9,1,6,12,18,5,134,175,91,329,638,0
2631,2632,0,102000000,0,13.494245999999999,2012,10,2,4,8,1,30,150,180,8,636,124,171,3633,4393,1
2291,2292,0,16000000,0,2.890462,1997,8,3,1,3,1,30,10,40,4,711,61,62,156,928,1
174,175,1,12468389,0,6.116093,2011,10,1,2,9,1,15,3,18,4,353,184,62,63,600,1
1725,1726,1,45000000,0,7.2880460000000005,2003,7,1,1,3,1,31,8,39,5,698,40,73,144,882,1
2175,2176,0,22000000,0,7.106953999999999,1987,8,5,1,3,1,24,80,104,9,562,45,160,2189,2796,1
45,46,0,3906840,5,2.382068,2009,10,5,1,2,2,15,7,22,11,290,23,160,184,497,0
685,686,0,1271000,0,7.441117,1955,1,3,1,2,1,16,22,38,5,289,23,97,477,789,1
1607,1608,0,40000000,0,13.256679,2017,3,3,2,1,1,24,4,28,4,704,9,59,100,813,1
1231,1232,0,26000000,0,11.519662,2005,8,2,1,2,2,67,7,74,2,1638,5,16,119,1762,1
862,863,0,0,0,0.007294,2011,5,1,1,1,1,12,11,23,1,300,7,20,358,665,1
1965,1966,0,9000000,0,15.236541,1985,11,2,2,3,1,24,13,37,5,461,43,85,226,730,1
331,332,0,23000000,11,10.861339,2009,12,3,1,1,3,18,4,22,14,425,9,288,103,537,1
93,94,0,0,0,14.322814000000001,2008,5,2,1,1,1,12,5,17,5,310,6,85,134,450,1
1641,1642,0,4500000,0,7.522655,1986,6,3,1,2,1,9,37,46,3,182,17,33,907,1106,1
2986,2987,0,20000000,0,12.553403,2004,9,3,1,3,2,10,34,44,1,158,31,9,738,927,1
506,507,0,25000000,0,10.510245,2008,10,2,1,4,3,16,14,30,4,304,65,65,214,583,1
2909,2910,0,29000000,0,10.829116,2016,5,2,2,3,1,20,57,77,3,460,59,63,1411,1930,1
2045,2046,0,75000000,0,11.34706,2002,3,3,2,3,3,54,132,186,13,1204,36,213,3402,4642,1
495,496,0,25000000,0,10.323838,1997,10,2,1,2,1,15,2,17,0,340,15,0,51,406,1
2132,2133,1,24000000,0,13.765241,2007,11,4,2,6,3,11,17,28,17,207,100,272,389,696,1
0,1,1,14000000,0,6.575392999999999,2015,2,1,1,3,1,24,72,96,4,597,19,80,1930,2546,1
314,315,1,175000000,0,19.148182000000002,2017,6,4,1,2,1,41,25,66,2,966,0,31,633,1599,1
1272,1273,0,6000000,0,15.11549,1964,8,3,1,1,1,20,16,36,13,401,7,164,317,725,1
1941,1942,0,0,0,7.834161,2015,6,2,1,2,2,10,12,22,0,298,38,0,306,642,1
2967,2968,1,2000000,0,9.333533000000001,1961,9,1,1,2,1,15,14,29,15,324,20,266,311,655,1
1316,1317,1,2200000,0,9.094477000000001,1985,3,2,1,2,1,19,15,34,6,415,21,75,356,792,1
755,756,0,0,0,2.340967,1981,2,2,1,3,4,11,3,14,15,235,36,309,61,332,1
1770,1771,0,0,0,11.002046,1995,10,2,1,1,1,19,5,24,5,324,4,86,94,422,1
1200,1201,1,13000000,7,7.17548,2010,9,4,2,1,2,6,2,8,4,144,12,44,30,186,0
2174,2175,0,0,15,1.342194,1996,8,3,2,2,1,7,9,16,5,155,17,80,164,336,0
1991,1992,0,37000000,0,3.7428239999999997,1997,10,4,1,3,1,12,7,19,3,258,25,33,144,427,1
879,880,0,13000000,0,11.293560000000001,2013,3,1,1,4,1,13,26,39,3,301,64,41,572,937,1
765,766,0,105000000,0,7.291872,2015,12,3,3,4,1,14,144,158,5,324,72,99,3722,4118,1
927,928,0,195000000,0,11.606061,2013,2,3,1,6,1,46,108,154,2,1086,79,49,2848,4013,1
2377,2378,0,25000000,0,7.857078,2007,9,3,1,3,1,18,16,34,9,361,30,167,292,683,1
1374,1375,0,23000000,0,5.307983999999999,1996,12,1,1,3,2,18,43,61,6,331,33,111,1023,1387,1
1814,1815,0,2700000,5,0.677253,1994,10,0,2,0,1,0,3,3,0,0,0,0,75,75,0
1798,1799,1,5000000,0,6.370495,1983,6,3,1,2,1,21,9,30,12,444,21,251,188,653,1
929,930,0,5000000,0,9.841623,1981,7,5,1,1,1,37,16,53,12,765,4,189,261,1030,1
436,437,0,0,0,9.266214,2014,1,2,1,1,1,4,9,13,7,59,12,127,246,317,1
196,197,0,7000000,0,0.8614729999999999,1988,12,1,2,1,2,8,3,11,5,166,8,87,65,239,1
1762,1763,0,2600000,0,13.233262,1974,2,2,1,2,3,25,12,37,22,497,33,441,247,777,1
1064,1065,0,0,0,7.489306,2009,5,5,1,2,1,32,12,44,0,785,25,0,212,1022,1
2342,2343,1,500000,13,1.6402709999999998,2008,2,1,0,0,1,4,1,5,0,103,0,0,18,121,0
2528,2529,0,6000000,0,3.189566,1972,1,4,1,2,1,15,14,29,6,390,26,100,228,644,1
1268,1269,0,10000000,0,6.426937000000001,1998,6,3,1,1,1,22,8,30,27,444,0,492,132,576,1
2323,2324,0,0,4,2.76145,1930,10,3,1,1,1,33,18,51,16,837,15,334,406,1258,0
2779,2780,0,25000000,0,5.9188160000000005,2004,9,4,2,1,1,19,38,57,6,464,0,90,869,1333,1
2225,2226,0,2000000,0,6.857317999999999,1947,11,2,1,1,1,13,12,25,2,205,0,19,250,455,1
450,451,0,23000000,0,5.950792,2004,1,2,2,5,6,11,26,37,11,213,96,201,524,833,1
2164,2165,0,60000000,0,12.975936,2015,12,2,1,4,2,67,89,156,6,1748,32,104,2235,4015,1
2372,2373,0,40000000,0,8.142089,2009,8,2,1,3,2,15,21,36,7,325,25,133,464,814,1
2012,2013,1,45000000,0,10.869056,2001,7,1,2,4,1,16,127,143,3,317,59,41,3250,3626,1
270,271,1,21000000,0,8.425361,2011,3,2,1,2,1,19,4,23,2,432,13,16,93,538,1
1840,1841,0,130000000,0,12.204174,2014,2,5,3,5,1,36,43,79,15,796,73,286,1020,1889,1
2934,2935,1,22000000,0,10.225555,2012,8,2,1,1,1,19,12,31,3,487,1,67,248,736,1
978,979,0,60000000,4,9.471838,1999,10,5,1,2,2,32,14,46,10,710,0,177,255,965,1
2166,2167,0,50000000,0,15.874491,1996,8,4,1,3,1,75,23,98,6,1647,27,93,472,2146,1
354,355,0,20500000,0,8.333525999999999,2008,12,2,3,6,2,17,96,113,9,358,100,242,2390,2848,1
1876,1877,0,5000000,0,3.0078419999999997,2003,9,3,2,1,1,12,19,31,19,253,6,306,424,683,1
184,185,0,82500000,0,9.796552,2006,6,4,1,4,3,24,15,39,16,508,43,229,292,843,1
2744,2745,0,22000000,0,11.698089,2009,9,3,1,5,1,24,19,43,3,524,79,54,430,1033,1
1614,1615,1,19000000,0,10.187278,1999,10,3,1,2,1,15,95,110,2,349,37,40,2543,2929,1
2759,2760,0,0,0,0.08472,1995,6,3,1,1,1,15,4,19,1,324,15,9,109,448,0
1706,1707,0,0,0,10.847383,1959,3,1,1,1,2,43,20,63,12,889,10,225,396,1295,1
1861,1862,1,170000000,0,18.717704,2014,3,3,1,1,1,70,41,111,12,1712,2,265,962,2676,1
246,247,1,23000000,0,14.134879999999999,1994,7,4,1,2,2,16,14,30,7,278,12,122,237,527,1
555,556,0,0,0,4.854436,1932,4,5,1,2,2,41,22,63,13,901,18,220,412,1331,1
1752,1753,0,50000000,0,12.508517999999999,1994,7,4,1,1,3,8,8,16,3,125,0,65,144,269,1
1364,1365,0,5700000,8,8.075698,2009,11,3,2,6,3,25,38,63,10,559,96,225,1052,1707,1
67,68,0,0,7,6.303552,2013,10,1,3,3,2,7,5,12,5,155,37,84,67,259,0
2618,2619,0,13000000,0,12.989056,2010,12,2,1,4,3,29,101,130,16,586,37,265,2443,3066,1
2284,2285,0,22000000,14,9.409701,2006,7,4,1,7,1,10,14,24,7,176,98,110,243,517,0
532,533,0,18000000,0,6.41742,1986,6,2,1,1,1,8,3,11,5,145,16,108,61,222,1
2873,2874,0,3512454,4,0.11006500000000001,2013,3,1,1,5,1,14,17,31,11,435,102,206,454,991,0
2705,2706,0,38000000,0,6.100498,2007,12,4,4,6,2,12,9,21,0,253,91,0,190,534,1
1502,1503,0,12000000,0,12.159818,2012,2,3,1,2,2,19,44,63,16,422,28,278,1092,1542,1
761,762,0,15000000,0,7.844705,2014,5,1,1,3,1,20,13,33,6,457,40,111,290,787,1
2752,2753,0,3000000,0,15.170192000000002,1987,9,3,1,2,1,12,11,23,5,226,32,84,213,471,1
1211,1212,0,18000000,0,4.558075,2010,5,4,2,4,8,23,17,40,7,521,55,104,375,951,1
2243,2244,0,19000000,0,9.801967,1989,9,3,1,1,1,12,7,19,12,208,0,213,127,335,1
1793,1794,0,0,32,7.970312,2000,7,1,1,5,2,5,7,12,149,104,86,2782,179,369,0
535,536,0,45000000,0,11.221186,2008,9,2,2,4,3,25,12,37,6,512,67,100,247,826,1
1746,1747,0,750000,0,1.5000129999999998,2005,7,2,1,0,1,4,5,9,0,82,0,0,137,219,1
463,464,0,0,0,8.09806,1989,7,3,1,2,1,23,8,31,2,481,6,21,156,643,1
2677,2678,0,0,5,11.063822,1960,2,2,2,4,4,24,14,38,16,534,26,223,272,832,1
1839,1840,1,0,0,1.655202,2006,2,2,1,0,1,8,2,10,0,177,0,0,27,204,1
2862,2863,0,2000000,0,0.12184400000000001,2010,9,2,1,1,1,10,9,19,0,300,8,0,238,546,0
124,125,0,7500000,0,16.376657,2009,7,3,1,3,3,23,35,58,17,489,32,295,894,1415,1
178,179,1,15000000,0,14.778884,1982,10,4,1,1,1,23,59,82,25,512,0,413,1376,1888,1
192,193,0,0,0,6.395748,2016,7,1,1,2,1,61,43,104,11,1433,10,262,1154,2597,1
2307,2308,0,7000000,0,3.1320189999999997,1983,4,1,2,2,2,15,20,35,12,321,24,179,431,776,1
1429,1430,0,30000000,0,6.212898,2010,10,1,1,3,1,16,75,91,3,307,57,46,2084,2448,1
1691,1692,0,7000000,0,12.61469,1996,4,3,1,2,1,17,12,29,13,297,21,220,141,459,1
741,742,0,0,0,0.0005780000000000001,1991,11,2,1,1,1,9,2,11,4,194,1,42,60,255,1
1034,1035,0,0,0,6.990989999999999,1968,4,2,2,4,2,23,31,54,10,488,28,181,764,1280,1
1966,1967,0,0,0,9.609726,2013,2,5,1,2,2,16,3,19,0,321,23,0,47,391,1
478,479,1,20000000,0,6.679167999999999,2006,10,4,1,3,2,10,57,67,5,230,23,73,1498,1751,1
1027,1028,0,0,0,4.119518,1983,11,1,1,2,1,19,5,24,7,379,36,113,116,531,1
2601,2602,0,0,0,7.137117,1995,12,3,1,4,1,16,57,73,8,287,39,130,1368,1694,1
368,369,0,0,0,6.068689,2016,4,3,1,2,1,21,8,29,2,501,38,47,192,731,1
2523,2524,0,6000000,0,3.5544910000000005,1983,12,1,1,3,1,8,23,31,4,155,22,71,500,677,1
845,846,1,54000000,0,17.185349,1990,12,3,2,1,4,38,24,62,11,864,0,118,416,1280,1
256,257,0,55000000,0,10.758754,2015,9,2,3,6,1,36,113,149,11,792,67,241,3002,3861,1
1222,1223,1,200000000,0,13.693001999999998,2011,6,4,1,2,4,47,40,87,6,1014,0,91,936,1950,1
1992,1993,0,4000000,10,0.372987,2011,1,3,1,1,1,8,4,12,1,167,4,12,87,258,0
211,212,1,7000000,0,19.726114000000003,1975,6,3,1,2,1,29,28,57,11,609,18,202,584,1211,1
2689,2690,0,85000000,0,11.218378,1998,10,3,2,1,1,18,16,34,8,430,11,122,314,755,1
1949,1950,0,5000000,0,8.966128999999999,2016,9,2,1,1,2,5,6,11,1,107,0,20,139,246,1
1362,1363,0,35000000,0,6.332878,2009,4,5,1,3,1,15,41,56,9,298,24,159,981,1303,1
2151,2152,0,27000000,0,7.436000999999999,1994,11,4,1,2,5,22,22,44,3,462,21,46,570,1053,1
2153,2154,0,0,8,1.021641,1979,11,3,1,1,1,18,16,34,5,444,8,106,341,793,0
567,568,0,40000000,0,6.322435,2012,1,3,1,2,1,17,19,36,6,357,18,97,410,785,1
2206,2207,0,20000000,0,2.651408,1998,9,3,1,2,1,10,10,20,1,214,22,27,208,444,1
2093,2094,0,67000000,0,8.920544999999999,2007,4,4,4,4,1,16,10,26,6,341,63,109,220,624,1
1710,1711,0,15000000,0,7.390012,1986,12,4,1,2,2,41,16,57,6,908,21,128,273,1202,1
1263,1264,1,15000000,0,3.4949,2011,4,4,1,1,1,16,3,19,8,320,3,135,49,372,1
2123,2124,0,10000000,0,6.589303999999999,2005,5,4,2,3,1,19,14,33,10,299,33,179,229,561,1
798,799,0,0,0,3.215954,2009,3,3,1,1,1,27,41,68,0,777,6,0,1155,1938,1
80,81,0,15000000,0,4.9840800000000005,2002,12,4,3,6,1,17,22,39,13,321,70,208,473,864,1
32,33,0,90000000,0,13.412445000000002,2015,10,3,1,7,1,22,92,114,4,469,119,67,2566,3154,1
414,415,0,65000000,0,7.446085000000001,2012,5,1,1,1,2,15,11,26,1,333,0,15,233,566,1
1804,1805,0,3800000,0,8.070589,1948,1,4,1,1,1,25,29,54,11,460,10,187,637,1107,1
2213,2214,0,8272296,8,10.000914999999999,1999,4,2,2,2,1,27,32,59,10,494,10,132,634,1138,0
1321,1322,1,65000000,0,18.860681,2004,12,6,1,6,2,20,155,175,15,393,68,318,3703,4164,1
1567,1568,0,2000000,0,11.276024000000001,2007,5,1,1,1,1,20,17,37,3,476,8,50,459,943,1
783,784,0,0,0,4.582718,1992,7,3,1,3,2,27,32,59,2,569,51,27,660,1280,1
2991,2992,1,13000000,0,4.7940879999999995,2001,1,4,1,2,1,21,21,42,3,561,31,36,501,1093,1
1412,1413,0,15000000,0,14.421528,2016,3,3,1,3,1,10,59,69,8,212,36,114,1695,1943,1
457,458,0,250000,0,0.003013,1992,9,1,0,0,1,2,1,3,0,49,0,0,23,72,1
139,140,1,110000000,0,0.9130959999999999,2003,4,4,1,6,3,31,28,59,5,578,101,101,510,1189,1
2230,2231,0,2160000,0,0.23053400000000002,1945,6,1,1,1,1,20,8,28,0,427,5,0,187,619,1
1025,1026,0,0,0,5.819403,2013,11,2,1,2,1,24,71,95,2,556,35,42,1905,2496,1
88,89,0,20000000,0,13.655178,2017,3,2,3,3,1,41,21,62,7,1095,43,125,474,1612,1
1442,1443,0,10000000,0,12.928711999999999,2017,3,3,1,3,1,66,24,90,1,1496,58,7,564,2118,1
1831,1832,1,6500000,12,0.8774770000000001,2011,1,1,1,1,1,11,2,13,0,282,12,0,37,331,0
2576,2577,0,1500000,0,2.627643,2010,1,1,2,2,2,1,21,22,11,27,29,219,530,586,1
254,255,0,11178,0,0.079287,2012,9,2,1,3,1,9,6,15,2,220,40,41,142,402,0
605,606,0,100000,0,5.113205000000001,2015,2,3,1,1,1,49,55,104,5,1236,5,71,1297,2538,0
1044,1045,0,2000000,12,3.462653,2008,6,3,1,1,2,18,11,29,2,409,6,35,297,712,0
568,569,0,12000000,0,10.159713,2017,4,2,1,1,1,18,71,89,2,432,1,40,1868,2301,1
1732,1733,1,5500000,1,1.250293,2013,9,3,1,1,1,10,1,11,0,240,17,0,13,270,0
2542,2543,0,3500000,0,5.899155,2010,7,2,1,8,1,16,14,30,11,297,125,238,306,728,1
857,858,1,59000000,0,17.328902,2002,3,4,1,3,1,18,58,76,16,367,42,312,1188,1597,1
2472,2473,0,175000000,0,12.319595,2015,11,3,1,2,1,19,11,30,9,438,0,165,226,664,1
817,818,0,100000,0,1.522753,1972,8,3,1,1,1,5,9,14,8,98,18,150,177,293,1
2030,2031,1,1200000,0,8.699428,1975,8,4,2,2,1,12,10,22,15,225,16,280,165,406,1
1877,1878,0,19800000,0,11.313659,2014,9,2,1,3,1,33,9,42,8,705,40,120,210,955,1
141,142,0,0,0,7.008512,2003,8,2,2,3,1,13,13,26,4,207,36,67,253,496,1
443,444,0,0,0,6.473841999999999,1985,2,2,1,2,1,38,14,52,2,888,27,29,312,1227,1
1174,1175,0,0,0,11.069608,2009,9,3,1,2,3,20,8,28,0,461,24,0,184,669,1
